,Season Number,Pitch Number,Startup Name,Industry,Business Description,Company Website,Number of Presenters,Male Presenters,Female Presenters,Transgender Presenters,Couple Presenters,Pitchers Average Age,Started in,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of sharks in deal,Deal has conditions,Has Patents,Ashneer Investment Amount,Ashneer Investment Equity,Ashneer Debt Amount,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Ghazal Investment Amount,Ghazal Investment Equity,Ghazal Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount,Guest Name
276,2,277,VAPerfume,Household,"Devotional, meditational, and romantic incense",http://www.vaperfume.com/,1,1,0,0,0.0,Middle,,Mumbai,Maharashtra,,,56.0,35.0,100.0,10.0,1000.0,0,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,
277,2,278,Hood,Technology,Pseudonymous social network,https://www.hood.live/,3,3,0,0,0.0,Middle,2022,Gurgaon,Haryana,0.0,,,,120.0,0.2,60000.0,1,1.0,60.0,0.54,60.0,12.0,11111.11111,2.0,,,0.0,,,0.0,,,0.0,,,0.0,,,30.0,0.27,30.0,30.0,0.27,30.0,0.0,,,,,,,,,
278,2,279,TwistingScoops,Food,Authentic turkish ice cream,https://twistingscoops.com/,2,2,0,0,0.0,Young,,Delhi,Delhi,,,,40.0,100.0,2.5,4000.0,1,0.0,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,
279,2,280,GROWiT,Agriculture,Protective farming products,https://thegrowit.com/,2,2,0,0,0.0,Middle,,Surat,Gujarat,-1.0,,22.0,,100.0,1.0,10000.0,1,1.0,50.0,1.0,50.0,10.0,5000.0,2.0,,,0.0,,,25.0,0.5,25.0,0.0,,,0.0,,,0.0,,,25.0,0.5,25.0,0.0,,,,,,,,,
280,2,281,Makino,Food,Nachos & Nuts,https://makino-new.myshopify.com/,4,4,0,0,0.0,Young,2018,Himmatnagar,Gujarat,,2.5,40.0,,200.0,2.0,10000.0,0,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,
281,2,282,Trunome,Health,Post Transplant Care,https://acrannolife.com/,2,2,0,0,0.0,Middle,,Chennai,Tamil Nadu,,,,,150.0,1.0,15000.0,1,1.0,150.0,2.0,,,7500.0,4.0,,1.0,0.0,,,0.0,,,37.5,0.5,,37.5,0.5,,37.5,0.5,,37.5,0.5,,0.0,,,,,,,,,
282,2,283,Wol3D,Manufacturing,3D printing technology,https://worldoflilliputs.com/,4,2,2,0,1.0,Middle,2016,Mumbai,Maharashtra,,,30.0,,150.0,1.0,15000.0,1,1.0,80.0,2.0,70.0,,4000.0,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,80.0,2.0,70.0,0.0,,,0.0,,,,,,,,,
283,2,284,What'sUpWellness,Food,Wellness in the form of quick bites,https://whatsupwellness.in/,2,1,1,0,0.0,Middle,,Kolkata,West Bengal,,30.0,,,50.0,3.0,1666.666667,1,1.0,60.0,4.76,,,1260.504202,3.0,,,0.0,,,0.0,,,20.0,1.586,,20.0,1.586,,20.0,1.586,,0.0,,,0.0,,,,,,,,,
284,2,285,ProostBeer,Beverages,Freshly brewed beer,https://www.proost69.com/,2,2,0,0,0.0,Middle,2018,Delhi,Delhi,-1.0,,,,100.0,0.75,13333.33333,0,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,
285,2,286,DrCubes,Beverages,Frozen Fresh cubes,https://drcubes.in/,2,2,0,0,0.0,Middle,2017,Bangalore,Karnataka,75.0,,45.0,35.0,80.0,15.0,533.3333333,0,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,
286,2,287,MetroRide,Vehicles,Metro Shuttle Service Access Transportation,https://metroride.in/,2,2,0,0,0.0,Middle,,Bangalore,Karnataka,54.0,25.0,,,75.0,1.0,7500.0,0,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,
287,2,288,Conker,Technology,Skill Based Learning Online Courses,https://learn.conkerworld.com/,1,1,0,0,0.0,Middle,,Bangalore,Karnataka,120.0,22.0,50.0,8.0,40.0,1.0,4000.0,0,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,
288,2,289,WTF,Food,Where's The Food,,1,1,0,0,0.0,Middle,,Kolkata,West Bengal,,,,,75.0,5.0,1500.0,0,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,
289,2,290,funngro,Technology,Smart Teens work with Smart companies,https://www.funngro.com/,3,1,2,0,1.0,Middle,2021,Mumbai,Maharashtra,,,,,50.0,1.25,4000.0,1,1.0,50.0,4.16,,,1201.923077,2.0,,,0.0,,,25.0,2.08,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,25.0,2.08,,,,,
290,2,291,Aadvik,Food,Buy Camel & Goat Milk,https://aadvikfoods.com/,2,2,0,0,0.0,Middle,,Delhi,Delhi,720.0,50.0,,,60.0,1.5,4000.0,1,1.0,15.0,1.5,45.0,12.0,1000.0,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,15.0,1.5,45.0,,,,
291,2,292,oyehappy,Services,"Unique Gifts, Customized Gifts, Romantic Gifts, Thoughtful Gifts",https://www.oyehappy.com/,2,2,0,0,0.0,Middle,,Hyderabad,Telangana,1005.0,80.0,80.0,,50.0,1.0,5000.0,0,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,
292,2,293,HealthyMaster,Food,"Online Dry Fruits, Snacks, Berries, Chips",https://healthymaster.in/,3,1,2,0,1.0,Middle,2019,Bangalore,Karnataka,-1.0,20.0,45.0,,50.0,2.0,2500.0,1,1.0,50.0,6.5,,,769.2307692,1.0,,,0.0,,,0.0,,,0.0,,,50.0,6.5,,0.0,,,0.0,,,0.0,,,,,,,,,
293,2,294,Kitsons,Household,"Stationery, Art & Craft, Books & Toy Retail Space",https://kitsons.in/,3,3,0,0,0.0,Middle,2010,Hyderabad,Telangana,,,,,1000.0,10.0,10000.0,0,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,
294,2,295,LondonBubble,Food,Waffle Chips Online,https://londonbubbleco.com/,2,2,0,0,0.0,Middle,,Mumbai,Maharashtra,,,,,75.0,5.0,1500.0,1,1.0,75.0,15.0,,,500.0,1.0,,,0.0,,,75.0,15.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,
295,2,296,WaggyZone,Pets,"Ice Cream Treat for Dogs, Puppies and Cats",https://waggyzone.com/,1,0,1,0,0.0,Middle,,Mumbai,Maharashtra,0.0,1.0,60.0,,50.0,5.0,1000.0,0,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,
296,2,297,NutriCook,Food,"Smart Pots, Air Fryers, Air Fryer Oven",https://www.nutricookindia.com/,2,1,1,0,0.0,Middle,,"Bangalore,Punganur","Karnataka,Andhra Pradesh",13.0,,,,100.0,2.0,5000.0,1,1.0,50.0,10.0,50.0,12.0,500.0,1.0,,,0.0,,,0.0,,,0.0,,,50.0,10.0,50.0,0.0,,,0.0,,,0.0,,,,,,,,,
297,2,298,Subhag,Health,Health-tech IUI Treatment Procedure for Infertility,https://subhag.in/,3,3,0,0,0.0,Middle,,"Jhumri Telaiya,Raipur","Jharkhand,Chhattisgarh",,0.0,,,50.0,1.0,5000.0,1,1.0,20.0,1.0,30.0,10.0,2000.0,1.0,,1.0,0.0,,,20.0,1.0,30.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,
298,2,299,SinghStyled,Beauty,Sikh Gentleman to maintain their Guru-gifted identity,https://www.singhstyled.com/,2,2,0,0,0.0,Middle,2019,Mumbai,Maharashtra,,7.5,,,50.0,5.0,1000.0,1,1.0,50.0,10.0,,,500.0,1.0,yes,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,50.0,10.0,,0.0,,,,,,,,,
299,2,300,ZSportsTech,Sports,Cricket Sport Shop,https://www.zsportstech.com/,2,2,0,0,0.0,Middle,,Mumbai,Maharashtra,31.0,,,,60.0,2.0,3000.0,0,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,
300,2,301,ThePlatedProject,Services,Decor Plates & Dinnerware,https://www.theplatedproject.com/,1,1,0,0,0.0,Middle,,Mumbai,Maharashtra,,,,,75.0,2.0,3750.0,1,1.0,75.0,3.75,,,2000.0,3.0,,,0.0,,,25.0,1.25,,0.0,,,25.0,1.25,,25.0,1.25,,0.0,,,0.0,,,,,,,,,
